epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.7072,1.89879,2.96414,2.02441,0.00821,0.64,0.03938,0.02183,2.22325,3.01567,2.49649,6e-05,6e-05,6e-05
2,2.64998,1.61118,2.84073,1.81122,0.00872,0.68,0.14965,0.08626,2.25526,2.96739,2.51035,0.000138614,0.000138614,0.000138614
3,3.62489,1.80656,2.55016,1.87478,0.00821,0.64,0.17335,0.09862,2.14841,2.94198,2.38939,0.000215644,0.000215644,0.000215644
4,4.59686,1.52754,2.14244,1.70141,0.00949,0.74,0.19175,0.09115,1.98374,2.93105,2.2264,0.00029109,0.00029109,0.00029109
5,5.56977,1.68783,2.12304,1.76394,0.00897,0.7,0.1297,0.05428,2.01268,2.99398,2.19096,0.000364952,0.000364952,0.000364952
6,6.48265,1.58927,2.02319,1.64207,0.01103,0.86,0.14454,0.05204,2.2502,3.06381,2.432,0.00043723,0.00043723,0.00043723
7,7.41783,1.58549,1.90178,1.636,0.01128,0.88,0.18956,0.05401,2.08476,3.01565,2.34971,0.000507924,0.000507924,0.000507924
8,8.34381,1.42796,1.86006,1.57325,0.02957,0.62,0.17151,0.06887,1.99343,2.83854,2.2838,0.000577034,0.000577034,0.000577034
9,9.28,1.4602,1.73318,1.57777,0.62727,0.1,0.24921,0.10994,2.13551,2.61753,2.30532,0.00064456,0.00064456,0.00064456
10,10.223,1.48365,1.87855,1.63218,0.56132,0.17919,0.23809,0.12103,2.14178,2.41646,2.29601,0.000710502,0.000710502,0.000710502
11,11.1598,1.44931,1.75099,1.58704,0.48611,0.22,0.21966,0.12428,2.00904,2.29473,2.18346,0.00077486,0.00077486,0.00077486
12,12.1863,1.4408,1.68894,1.54244,0.62067,0.34,0.32868,0.13698,1.97831,2.14591,2.14191,0.000837634,0.000837634,0.000837634
13,13.1959,1.38243,1.6776,1.51134,0.45117,0.24,0.19646,0.06624,2.20024,2.42047,2.30492,0.000898824,0.000898824,0.000898824
14,14.1604,1.47341,1.78916,1.60785,0.529,0.16,0.18479,0.06585,2.18778,2.46689,2.30384,0.00095843,0.00095843,0.00095843
15,15.1179,1.50253,1.74356,1.61971,0.38455,0.26,0.2037,0.07949,2.01997,2.265,2.19439,0.00101645,0.00101645,0.00101645
16,16.0232,1.44303,1.71388,1.55849,0.53478,0.28,0.26637,0.13525,1.93263,2.17792,2.13906,0.00107289,0.00107289,0.00107289
17,16.9458,1.49028,1.68922,1.59499,0.63142,0.23984,0.29351,0.15852,1.80313,2.2966,2.02638,0.00112774,0.00112774,0.00112774
18,17.8396,1.40491,1.70266,1.57019,0.11749,0.2,0.04907,0.01108,2.67701,4.96964,3.52803,0.00118101,0.00118101,0.00118101
19,18.75,1.49415,1.71003,1.63237,0.06446,0.1,0.02157,0.00693,2.70535,8.66157,3.73087,0.0012327,0.0012327,0.0012327
20,19.6851,1.49104,1.68687,1.61275,0.04268,0.28,0.02245,0.00611,2.71579,12.7737,3.89265,0.0012828,0.0012828,0.0012828
21,20.5964,1.44867,1.63836,1.57774,0.04293,0.12,0.01595,0.00497,2.83774,9.59549,3.56401,0.00133132,0.00133132,0.00133132
22,21.6022,1.39186,1.6089,1.57923,0.03022,0.2,0.01369,0.00486,2.7494,7.75415,3.31076,0.00137825,0.00137825,0.00137825
23,22.5042,1.47214,1.69525,1.61726,0.01235,0.14,0.01144,0.00379,2.6951,5.15762,3.18702,0.0014236,0.0014236,0.0014236
24,23.5017,1.46937,1.62589,1.5827,0.35308,0.02,0.01984,0.00537,2.63298,4.36528,3.08664,0.00146737,0.00146737,0.00146737
25,24.41,1.37004,1.69127,1.50692,0.03416,0.06,0.01534,0.00444,2.55915,4.3996,3.08527,0.00150955,0.00150955,0.00150955
26,25.3429,1.44419,1.66898,1.56364,0.075,0.08,0.02568,0.00661,2.54974,4.04344,2.91331,0.001505,0.001505,0.001505
27,26.2395,1.37208,1.58912,1.4788,0.09988,0.08,0.05783,0.02095,2.60081,3.54207,2.98995,0.0014852,0.0014852,0.0014852
28,27.1288,1.48703,1.62466,1.60584,0.37983,0.08,0.07693,0.03457,2.60128,3.66814,2.91832,0.0014654,0.0014654,0.0014654
29,28.1346,1.45202,1.51893,1.57498,0.19627,0.22,0.12844,0.05743,2.66775,3.52013,2.95162,0.0014456,0.0014456,0.0014456
30,29.0508,1.39474,1.52146,1.55947,0.21811,0.18,0.13406,0.03792,2.74417,3.87622,3.0124,0.0014258,0.0014258,0.0014258
31,29.963,1.4591,1.50452,1.56199,0.30172,0.16,0.1344,0.05258,2.64128,3.70264,2.85556,0.001406,0.001406,0.001406
32,30.8478,1.30706,1.43556,1.48804,0.34423,0.22,0.24195,0.0892,2.51704,3.30817,2.63123,0.0013862,0.0013862,0.0013862
33,31.7359,1.2961,1.47445,1.47962,0.23579,0.28,0.20654,0.08473,2.66021,3.31151,2.77718,0.0013664,0.0013664,0.0013664
34,32.6277,1.31917,1.4984,1.48113,0.20806,0.28,0.16369,0.07818,2.58022,3.63827,2.80967,0.0013466,0.0013466,0.0013466
35,33.5501,1.37844,1.48428,1.53308,0.2841,0.18,0.16628,0.07737,2.57703,3.36866,2.84205,0.0013268,0.0013268,0.0013268
36,34.4841,1.3033,1.62879,1.4663,0.3935,0.2,0.17919,0.09703,2.45795,2.70013,2.68339,0.001307,0.001307,0.001307
37,35.4184,1.28568,1.45667,1.45457,0.29886,0.22,0.16662,0.10082,2.44877,2.76802,2.66535,0.0012872,0.0012872,0.0012872
38,36.3004,1.36667,1.44215,1.53809,0.3742,0.24,0.19542,0.11688,2.30209,2.53076,2.51753,0.0012674,0.0012674,0.0012674
39,37.2331,1.25255,1.38076,1.42462,0.41249,0.30905,0.24731,0.13086,2.26301,2.40532,2.52821,0.0012476,0.0012476,0.0012476
40,38.1502,1.38087,1.44245,1.5534,0.39801,0.28,0.23349,0.11979,2.25056,2.72388,2.46706,0.0012278,0.0012278,0.0012278
41,39.0744,1.30431,1.34627,1.48548,0.32852,0.36,0.23969,0.1111,2.2217,3.16269,2.36568,0.001208,0.001208,0.001208
42,39.9871,1.23666,1.33486,1.44493,0.26314,0.3,0.19698,0.10419,2.21548,3.11597,2.30311,0.0011882,0.0011882,0.0011882
43,40.9091,1.27334,1.37428,1.46865,0.33516,0.32,0.24894,0.12828,2.17285,2.90914,2.29191,0.0011684,0.0011684,0.0011684
44,41.8446,1.34261,1.36466,1.50383,0.37888,0.28061,0.25079,0.13059,1.99161,2.84243,2.20032,0.0011486,0.0011486,0.0011486
45,42.8364,1.25013,1.49565,1.48658,0.42392,0.22,0.21935,0.10966,2.11186,2.56075,2.2501,0.0011288,0.0011288,0.0011288
46,43.7631,1.17447,1.38279,1.37597,0.28441,0.28,0.2251,0.09181,2.01545,2.43551,2.18156,0.001109,0.001109,0.001109
47,44.6857,1.33317,1.47198,1.50744,0.31916,0.26,0.19594,0.06832,2.06591,2.65685,2.22123,0.0010892,0.0010892,0.0010892
48,45.5883,1.2,1.33904,1.37496,0.33629,0.24,0.17903,0.06406,2.10991,2.70704,2.32415,0.0010694,0.0010694,0.0010694
49,46.464,1.15968,1.38719,1.40298,0.29634,0.26,0.16372,0.06214,2.18052,2.69967,2.44199,0.0010496,0.0010496,0.0010496
50,47.378,1.14689,1.25042,1.35566,0.22,0.18,0.12257,0.05148,2.33984,2.68492,2.59756,0.0010298,0.0010298,0.0010298
51,48.2705,1.34151,1.35974,1.56057,0.24688,0.2,0.12592,0.04735,2.33272,2.72705,2.54941,0.00101,0.00101,0.00101
52,49.1546,1.20352,1.36769,1.44791,0.14676,0.28,0.08675,0.03559,2.24398,3.01343,2.50679,0.0009902,0.0009902,0.0009902
53,50.1066,1.12467,1.28012,1.33118,0.18586,0.31509,0.10224,0.04308,2.22854,2.7656,2.52285,0.0009704,0.0009704,0.0009704
54,51.0264,1.21784,1.29426,1.41915,0.23067,0.22,0.1075,0.0519,2.27127,2.47184,2.57694,0.0009506,0.0009506,0.0009506
55,51.9592,1.11076,1.26941,1.37075,0.16691,0.18,0.09252,0.03798,2.32537,2.54991,2.59157,0.0009308,0.0009308,0.0009308
56,52.8541,1.15553,1.22891,1.40388,0.10778,0.24,0.07287,0.02535,2.31112,2.7639,2.59713,0.000911,0.000911,0.000911
57,53.8882,1.11351,1.2717,1.3528,0.15356,0.26,0.10092,0.0299,2.29413,2.71935,2.54784,0.0008912,0.0008912,0.0008912
58,54.8364,1.23852,1.25549,1.43765,0.25554,0.22665,0.17456,0.04919,2.31699,2.57607,2.54804,0.0008714,0.0008714,0.0008714
59,55.7037,1.04492,1.22224,1.35341,0.25229,0.42,0.23579,0.06957,2.21913,2.41994,2.47928,0.0008516,0.0008516,0.0008516
60,56.6305,1.21604,1.30861,1.4088,0.26428,0.4,0.24709,0.07281,2.20207,2.24774,2.43815,0.0008318,0.0008318,0.0008318
61,57.52,1.05356,1.18003,1.34104,0.30151,0.46,0.26111,0.07583,2.18317,2.22495,2.37003,0.000812,0.000812,0.000812
62,58.4291,1.05107,1.21585,1.31595,0.35364,0.3,0.26437,0.08261,2.1933,2.27288,2.37958,0.0007922,0.0007922,0.0007922
63,59.3372,1.03269,1.25584,1.28721,0.41601,0.2,0.18723,0.0634,2.22305,2.45046,2.36409,0.0007724,0.0007724,0.0007724
64,60.2931,1.13986,1.21908,1.34613,0.31083,0.32,0.2355,0.08038,2.15232,2.4351,2.30237,0.0007526,0.0007526,0.0007526
65,61.2216,1.08048,1.23926,1.31298,0.3868,0.22,0.26864,0.12441,2.01563,2.25376,2.20402,0.0007328,0.0007328,0.0007328
66,62.1204,1.07244,1.16724,1.32745,0.30129,0.34,0.2576,0.13666,1.94406,2.1,2.10905,0.000713,0.000713,0.000713
67,62.9973,1.04719,1.14704,1.33847,0.40257,0.3,0.28581,0.14864,1.90353,2.04518,2.10152,0.0006932,0.0006932,0.0006932
68,63.933,1.10044,1.26176,1.34821,0.52095,0.3,0.27362,0.16351,1.99085,2.05733,2.09979,0.0006734,0.0006734,0.0006734
69,64.8757,1.08327,1.23013,1.32317,0.48146,0.28,0.27262,0.15036,2.04099,2.06464,2.15972,0.0006536,0.0006536,0.0006536
70,65.7787,1.01838,1.13719,1.29794,0.62921,0.23769,0.25091,0.13636,2.1218,2.06685,2.26969,0.0006338,0.0006338,0.0006338
71,66.6915,1.10691,1.17512,1.37641,0.41257,0.32,0.28413,0.15788,2.12667,2.05438,2.24647,0.000614,0.000614,0.000614
72,67.5814,1.03382,1.16125,1.30417,0.43558,0.3,0.27047,0.14485,2.2071,2.12495,2.37046,0.0005942,0.0005942,0.0005942
73,68.5013,1.12364,1.12783,1.35182,0.4432,0.34,0.28653,0.14729,2.224,2.25216,2.41641,0.0005744,0.0005744,0.0005744
74,69.4563,1.00972,1.12952,1.27327,0.60309,0.28,0.26149,0.13875,2.17515,2.39924,2.34896,0.0005546,0.0005546,0.0005546
75,70.3942,1.01145,1.10708,1.28302,0.5448,0.28,0.27894,0.1394,2.14268,2.22659,2.30974,0.0005348,0.0005348,0.0005348
76,71.3488,0.96551,1.03433,1.24808,0.49795,0.28,0.27408,0.15671,2.03732,2.1334,2.15275,0.000515,0.000515,0.000515
77,72.3315,0.97153,1.03919,1.2463,0.45943,0.26,0.2534,0.16633,1.91733,2.02482,2.03217,0.0004952,0.0004952,0.0004952
78,73.3281,0.95027,1.04655,1.24744,0.53823,0.25655,0.26427,0.16505,1.90534,1.97097,1.99978,0.0004754,0.0004754,0.0004754
